code,country,city,name,lat,lon
KEU,Kenya,Masai Mara,	Masai Mara Keekorok Airport,-1.586377,35.257462
LCG,Spain,A Coruna,A Coruna Airport,43.302059,-8.37725
AAH,Germany,Aachen,Aachen Merzbruck Airport,50.823051,6.186111
AAL,Denmark,Aalborg,Aalborg Airport,57.092781,9.849164
AAR,Denmark,Aarhus,Aarhus Airport,56.300011,10.619
QEA,Denmark,Aarhus,Aarhus Sea Airport,56.151993,10.247725
JEG,Greenland,Aasiaat,Aasiaat Airport,68.72184,-52.784698
ABD,Iran,Abadan,Abadan Airport,30.371111,48.228329
ABA,Russia,Abakan,Abakan International Airport,53.740002,91.385002
YXX,Canada,Abbotsford,Abbotsford International Airport,49.025269,-122.360001
ABZ,United Kingdom,Aberdeen,Aberdeen International Airport,57.201939,-2.19777
ABR,United States,Aberdeen,Aberdeen Regional Airport,45.439999,-98.419998
AHB,Saudi Arabia,Abha,Abha Regional Airport,18.24036,42.65662
ABJ,Cote D'ivoire (Ivory Coast),Abidjan,Abidjan Port Bouet Airport,5.261386,-3.92629
ABI,United States,Abilene,Abilene Regional Airport,32.411301,-99.681801
VJI,United States,Abingdon,Abingdon Virginia Highlands Airport,36.686111,-82.033333
AZI,United Arab Emirates,Abu Dhabi,Abu Dhabi Al Bateen Executive Airport,24.428329,54.45808
DHF,United Arab Emirates,Abu Dhabi,Abu Dhabi Al Dhafra Air Base,24.248199,54.547699
AUH,United Arab Emirates,Abu Dhabi,Abu Dhabi International Airport,24.43297,54.651131
AEU,Iran,Abu Musa Island,Abu Musa Island Airport,25.8757,55.033001
ABS,Egypt,Abu Simbel,Abu Simbel Airport,22.37595,31.611719
ABV,Nigeria,Abuja,Abuja Nnamdi Azikiwe International Airport,9.006792,7.263172
ACA,Mexico,Acapulco,Acapulco International Airport,16.757059,-99.753899
ACC,Ghana,Accra,Accra Kotoka International Airport,5.605186,-0.16678
ADT,United States,Ada,Ada Municipal Airport,34.804298,-96.671303
ADK,United States,Adak Island,Adak Airport,51.87796,-176.645996
AIP,India,Adampur,Adampur Airport,31.433056,75.760559
ADA,Turkey,Adana,Adana Sakirpasa Airport,36.982159,35.28038
ADD,Ethiopia,Addis Ababa,Addis Ababa Bole Airport,8.977889,38.799309
ADL,Australia,Adelaide,Adelaide Airport,-34.945,138.530502
ADE,Yemen,Aden,Aden International Airport,12.82954,45.02879
ADF,Turkey,Adiyaman,Adiyaman Airport,37.731361,38.468929
AZR,Algeria,Adrar,Adrar Airport,27.83758,-0.18641
AFO,United States,Afton,Afton Municipal Airport,42.711201,-110.942001
AGA,Morocco,Agadir,Agadir Al Massira Airport,30.324989,-9.41306
IXA,India,Agartala,Agartala Airport,23.886971,91.240448
AGX,India,Agatti,Agatti Airport,10.82365,72.176041
AGF,France,Agen,Agen La Garenne Airport,44.174709,0.590619
AKW,Iran,Aghajari,Aghajari Airport,30.7444,49.6772
AGR,India,Agra,Agra Airport,27.15583,77.960892
AJI,Turkey,Agri,Agri Airport,39.65456,43.027149
