flight_icao,dep_iata,arr_iata,aircraft_icao
AAL100,JFK,LHR,B77W
AAL1010,DFW,STL,B738
AAL1014,MCO,PHX,A21N
AAL1015,AUS,LAS,B738
AAL1023,MIA,DTW,B738
AAL103,MIA,LAX,A21N
AAL1031,CLT,LAS,A321
AAL1044,PHL,PWM,A319
AAL1050,DFW,BUF,B738
AAL1063,PHL,DEN,A321
AAL1069,DFW,SLP,A319
AAL1076,DFW,BNA,A320
AAL108,BOS,LHR,B772
AAL110,ORD,FCO,B788
AAL112,MIA,BCN,B772
AAL1123,DFW,BOG,A319
AAL1129,MIA,MDE,B38M
AAL1133,DFW,RIC,B738
AAL1137,MIA,BOG,A319
AAL1148,DFW,DFW,A321
AAL1158,DCA,DFW,B738
AAL1160,SDQ,MIA,B738
AAL117,JFK,LAX,A321
AAL1171,MIA,LGA,A321
AAL1172,ORD,BOS,B38M
AAL1179,ORD,SNA,B38M
AAL1207,DFW,TUS,A321
AAL121,DOH,JFK,B772
AAL1213,DFW,DFW,B738
AAL1227,DFW,SNA,B738
AAL1241,DFW,SEA,A21N
AAL1243,DFW,SAN,A321
AAL1246,MIA,YYZ,A319
AAL1261,MIA,JFK,B38M
AAL1269,DFW,DFW,B738
AAL127,DFW,ICN,B772
AAL1272,MIA,BDL,B38M
AAL1286,MIA,RDU,B738
AAL1291,DFW,IAD,B738
AAL1292,LAX,BNA,A320
AAL1294,PHL,PHX,A321
AAL1305,DFW,JAX,B738
AAL1312,DFW,BJX,A319
AAL1314,DGO,DFW,A319
AAL1318,CLT,BWI,A321
AAL132,DFW,DUB,B788
AAL134,LAX,LHR,B77W
AAL135,LHR,LAX,B77W
AAL1355,DFW,DFW,B738
AAL1357,MIA,JFK,B738
AAL1360,DFW,DFW,A321
AAL1373,CLT,CLT,A321
AAL1388,PHX,JFK,B738
AAL1389,MIA,LGA,B38M
AAL1394,PHL,AUS,A319
AAL1397,MIA,MCI,B738
AAL1399,DFW,SAN,A21N
AAL1405,DFW,MIA,A321
AAL1408,DFW,DFW,A319
AAL141,LHR,JFK,B772
AAL1417,BOS,AUS,A319
AAL1422,DFW,CHS,A320
AAL1423,LAX,LAX,A321
AAL1425,DFW,BDL,B738
AAL1427,PWM,DFW,A320
AAL1428,LGA,RDU,A319
AAL143,LAX,HNL,A21N
AAL1430,DFW,SFO,B738
AAL1434,DFW,YVR,B738
AAL1437,PHL,MCI,A319
AAL1438,DFW,FLL,B738
AAL1442,GRR,DFW,A319
AAL1445,DFW,DFW,B738
AAL145,TLV,JFK,B772
AAL1450,TPA,DFW,A321
AAL1451,IAH,MIA,A319
AAL1458,DFW,OKC,A321
AAL1468,MIA,SAT,A319
AAL147,CLT,PHX,A321
AAL1473,PHX,TPA,A320
AAL1481,MIA,MIA,B738
AAL1482,DFW,BOI,A319
AAL1483,DFW,SBA,A319
AAL1495,CLT,LAX,A321
AAL150,ORD,CDG,B789
AAL1505,IND,DFW,B738
AAL1510,MIA,PIT,A319
AAL1513,MIA,GEO,B38M
AAL1517,PHX,RDU,B738
AAL1526,ORD,ORD,B738
AAL1528,MIA,PHL,A321
AAL1543,ORD,SAN,B738
AAL1545,PHX,BNA,A321
AAL1564,DFW,DFW,A321
AAL1568,CLT,LIT,A319
AAL1578,DFW,MSP,B738
AAL160,ORD,ATH,B789
AAL1605,DFW,RDU,A321
AAL1607,DFW,CLE,B738
AAL1615,CLT,CLT,B738
AAL1625,DFW,VPS,A319
AAL1641,CLT,MEM,A321
AAL1660,DFW,MCO,A321
AAL1671,MIA,PHX,A321
AAL1682,CLT,MCO,A321
AAL1683,ORD,ORD,B738
AAL1694,ORD,BNA,B738
AAL1698,CLT,MIA,B738
AAL1710,CLT,ONT,B738
AAL1726,DFW,LGA,B738
AAL1727,CLT,JFK,B738
AAL1728,MEM,DFW,A321
AAL1735,MIA,LGA,B738
AAL1739,MIA,CLT,B738
AAL174,RDU,LHR,B772
AAL1745,CLT,YYZ,A319
AAL1747,ORD,YYZ,A319
AAL1761,DFW,PIT,A319
AAL1771,DFW,LAS,A321
AAL1783,CLT,CLT,A321
AAL1797,DFW,LAS,A321
AAL1798,RTB,MIA,A319
AAL1807,DFW,OKC,B738
AAL1814,DFW,PHL,A321
AAL1815,DCA,CLT,A320
AAL184,LAX,JFK,A321
AAL1840,CLT,IAH,B738
AAL1843,CLT,BOS,A321
AAL185,JFK,LAX,A321
AAL1863,ORD,MIA,B738
AAL1874,PHL,BOS,A319
AAL1879,CLT,MCO,A321
AAL1888,DFW,DFW,B738
AAL1891,MIA,MIA,A21N
AAL1898,TPA,DCA,B738
AAL1908,AUS,DFW,B738
AAL1915,DFW,DFW,B738
AAL1916,DFW,MCI,B738
AAL1919,PHL,MCO,A321
AAL1922,MIA,JFK,B738
AAL1923,DFW,QRO,A319
AAL1934,DFW,SYR,A319
AAL1936,DFW,PIT,A321
AAL194,PHX,LHR,B772
AAL1942,CLT,LGA,B738
AAL1949,MIA,SAN,B738
AAL1950,MIA,DFW,B738
AAL1956,PHL,SAN,A21N
AAL1978,CLT,BOS,A321
AAL198,JFK,MXP,B772
AAL1986,DFW,PDX,A321
AAL1992,SEA,DFW,A321
AAL1995,LAS,AUS,B738
AAL20,DFW,LHR,B77W
AAL2001,PHL,PHL,A321
AAL2009,DFW,SEA,A321
AAL2017,LAX,AUS,A319
AAL2028,SFO,DFW,B38M
AAL2031,CLT,LGA,B738
AAL2032,DFW,MSO,A319
AAL204,PHL,AMS,B788
AAL205,LAX,OGG,A21N
AAL2083,CLT,SMF,B738
AAL2100,DFW,DFW,B738
AAL2104,PHX,PHX,A320
AAL2108,PHX,SJC,A319
AAL2109,DCA,LAX,A21N
AAL2110,BOS,LAX,A321
AAL2119,LAX,PHX,B738
AAL212,OGG,LAX,A21N
AAL2120,DCA,BOS,A319
AAL2129,DFW,CLT,A321
AAL2137,CLT,YUL,A319
AAL2151,DCA,DCA,A319
AAL2165,JFK,MDE,B38M
AAL2171,LGA,ORD,B738
AAL2172,CLT,SRQ,A319
AAL2175,JFK,BOG,A319
AAL2179,JFK,CLO,B38M
AAL2188,MIA,IND,B738
AAL2190,DCA,MIA,B738
AAL2191,MIA,DEN,B738
AAL2194,CLT,FLL,A321
AAL2199,DFW,AUS,B738
AAL220,DFW,AMS,B789
AAL2208,ORD,AUS,B738
AAL2209,DFW,IAH,A321
AAL2212,DFW,DFW,A321
AAL2214,AUS,DFW,A320
AAL2222,DFW,DCA,B738
AAL2228,BDL,CLT,B738
AAL2229,BOS,BOS,A21N
AAL2235,DEN,DFW,A321
AAL2237,DFW,ATL,A321
AAL2238,DFW,DFW,B738
AAL2251,DFW,BWI,B738
AAL2256,DFW,TPA,B738
AAL2259,MIA,UIO,B38M
AAL2271,DFW,PBI,B738
AAL2280,MIA,SFO,B38M
AAL2284,DFW,CMH,A321
AAL2289,MIA,LAX,A21N
AAL2300,MCO,DCA,B738
AAL2305,JFK,SFO,A321
AAL2306,DFW,BOS,A321
AAL2318,DFW,LAX,A321
AAL2323,MIA,ORD,B738
AAL2328,ATL,LAX,A321
AAL2333,PHX,EWR,A21N
AAL2346,DFW,ORD,A321
AAL236,JFK,FCO,B772
AAL2362,MIA,DCA,B38M
AAL2364,ORD,LAX,B788
AAL2373,DFW,LAS,A321
AAL2375,DFW,SLC,A321
AAL238,LAX,JFK,A321
AAL2381,ORD,MSP,B738
AAL2392,PHL,LAX,A21N
AAL2399,FLL,DFW,B738
AAL240,DFW,FCO,B772
AAL2406,DFW,DFW,B738
AAL2417,DFW,MEX,B738
AAL2418,AUS,PHX,A320
AAL2421,MIA,SFO,B38M
AAL2424,MIA,BWI,B738
AAL2432,MEX,DFW,B738
AAL2433,DFW,PDX,A321
AAL2441,CLT,SAT,B738
AAL2448,DFW,RNO,B738
AAL246,KOA,LAX,A21N
AAL2461,ATL,PHX,A321
AAL2462,CLT,CLT,A320
AAL2466,DFW,DFW,B738
AAL2470,CLT,CLT,A321
AAL2474,DFW,RSW,B738
AAL2475,LAS,LAX,A321
AAL2480,CLT,CLT,A321
AAL2490,MCO,DFW,A321
AAL2501,DFW,GSO,A319
AAL2503,MCO,DCA,A321
AAL2512,MCO,LAX,A321
AAL2514,PHX,DFW,A21N
AAL2520,DFW,YYC,A319
AAL2524,MIA,DFW,A321
AAL2531,PHL,PHL,A321
AAL2539,MIA,BOS,B38M
AAL2554,DFW,SMF,A321
AAL257,MIA,MEX,B738
AAL2572,STL,PHX,A319
AAL258,PHL,LIS,B788
AAL2586,ORD,SEA,B738
AAL2587,DFW,ORF,B738
AAL2588,BOS,PHX,A21N
AAL2594,PHL,SAN,A21N
AAL2597,DFW,BUR,B738
AAL2602,CLT,DFW,A321
AAL2609,DFW,LAS,B738
AAL2616,MIA,DCA,B38M
AAL2632,EWR,ORD,B738
AAL2633,ORD,DCA,B738
AAL2638,ORF,DFW,B738
AAL2651,SFO,CLT,A321
AAL2654,ORD,LAS,B38M
AAL2659,SNA,DFW,B738
AAL266,LIH,LAX,A21N
AAL2676,EWR,PHX,A321
AAL2686,CLT,GRR,B738
AAL2689,ORD,BDL,B738
AAL2691,MIA,ORF,B38M
AAL2696,HAV,MIA,B738
AAL2697,DFW,LAX,A321
AAL2698,DFW,ABQ,B738
AAL2702,MIA,YUL,A319
AAL2707,DFW,AUS,B738
AAL2709,DFW,PSP,B738
AAL2713,MIA,POS,B38M
AAL2727,PHX,PHX,B738
AAL2732,MIA,SDF,A319
AAL2736,RSW,DFW,B738
AAL2738,ORD,DFW,B738
AAL2744,DFW,DFW,B738
AAL2749,DFW,ATL,A321
AAL2752,DFW,DCA,B738
AAL2753,DFW,DTW,B738
AAL2761,DFW,STL,B738
AAL2763,PHX,BOS,A21N
AAL2776,LAX,ORD,B738
AAL2779,ORD,ATL,A319
AAL2793,CLT,CLT,A321
AAL2794,CLT,EWR,A321
AAL2802,SFO,DFW,A321
AAL2804,DFW,YYZ,B738
AAL281,DFW,ICN,B788
AAL2826,ORD,PHX,B738
AAL2828,ORD,SFO,B738
AAL2836,JFK,LAS,B738
AAL284,HNL,LAX,A21N
AAL2867,MIA,PBM,A319
AAL2875,ATL,MIA,A321
AAL2881,DFW,ORD,B738
AAL2900,CMH,PHX,B738
AAL2901,DFW,DFW,B738
AAL2905,TPA,CLT,A321
AAL2914,BOS,BOS,A319
AAL2918,ORD,EWR,B738
AAL292,JFK,DEL,B77W
AAL2923,DFW,SNA,B738
AAL2933,MIA,MIA,B738
AAL2934,CLT,CLT,A321
AAL2935,CLT,CLT,A321
AAL2936,STL,LAX,A319
AAL2948,PHX,SAN,A321
AAL2952,LAX,ORD,A321
AAL2957,MIA,AUS,B738
AAL2969,IND,PHX,A21N
AAL2972,MIA,CLE,B38M
AAL2980,DFW,TYS,A319
AAL2998,DEN,PHX,A319
AAL2999,PHL,IAH,A319
AAL300,JFK,LAX,A321
AAL302,JFK,LAX,A321
AAL303,DFW,GEG,A320
AAL304,PHL,PVD,A319
AAL330,DFW,SAV,B738
AAL332,LGA,MIA,B738
AAL334,JFK,ATH,B772
AAL338,LGA,MIA,B738
AAL341,JFK,LAX,A321
AAL343,CLT,SFO,A321
