model,capacity,code,year_of_manufacture,thumb
Boeing 737-800,189,B738,1997,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/Boeing_737-800.png
A220 100,135,BCS1,2008,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A220_100.jpg
A220 300,160,BCS3,2008,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A220_300.jpg
A300B4-200,345,A30B,1967,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A300B4-200.jpg
A300-600R,345,A306,1967,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A330_600R.jpg
A318,107,A318,2002,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A318.jpg
A319 Neo,140,A19N,2019,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A319_Neo.jpg
A320 Neo,165,A20N,2014,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A320_Neo.jpg
A321 Neo,190,A321,2016,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A321_Neo.jpg
A330-200ceo,253,A332,1987,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A330-200ceo.jpg
A330-300ceo,295,A333,2010,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A330-300ceo.jpg
A330-800neo,257,A338,2017,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A330-800neo.jpg
A330-900neo,287,A339,2019,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A330-900neo.jpg
A340 200,300,A342,1993,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A340_200.jpg
A340 300,335,A343,1993,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A340_300.jpg
A340 500,359,A345,2002,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A340_500.jpg
A340 600,419,A346,2002,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A340_600.jpg
A350-800 XWB,270,A358,2010,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A350-800.jpg
A350-900 XWB,314,A359,2010,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A350-900.jpg
A350-1000 XWB,350,A35K,2011,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A350-1000.jpg
A380-800,555,A388,2005,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/A380-800.jpg
ATR 42-300,48,AT43,1990,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/ATR_42-300.jpg
ATR 42-320,48,AT43,1996,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/ATR_42-320.jpg
ATR 42-400,48,AT44,1993,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/ATR_42-400.jpg
ATR 42-500,48,AT45,1993,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/ATR_42-500.jpg
